Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.8.100-108.177.123.139-57848-443-17,192.168.8.100,57848,108.177.123.139,443,17,12/06/2026 06:35:03 PM,504281,28,24,24402.0,6143.0,1250.0,30.0,871.5000000000002,549.4166266410488,1250.0,24.0,255.95833333333334,437.61443016970276,60571.38777784608,103.11711129310841,9887.862745098038,35669.87046347077,237064.0,0.0,443286.0,16418.000000000004,50106.41370968545,246333.0,9.0,451418.0,19626.869565217392,52932.79388423876,237064.0,0.0,0,0,0,0,224,192,55.524598388596836,47.59251290451157,24.0,1250.0,599.9056603773585,586.4171613132826,343885.0870827285,0,0,0,0,0,0,0,0,0.0,611.4423076923077,871.5,255.95833333333334,0,0,0,30545,52,60571,0,0,0,0,0,0,27,8,0,0,0,0,0,0,0,0,NeedManualLabel
94.140.15.15-192.168.8.100-443-56023-6,94.140.15.15,443,192.168.8.100,56023,6,12/06/2026 06:34:16 PM,83671877,192,183,10374.0,12573.0,398.0,0.0,54.03124999999999,71.42366087271591,159.0,0.0,68.70491803278686,62.2544435756262,274.2498533886123,4.481792609959019,223721.59625668442,1361376.0309566956,1.5189263E7,0.0,8.3671861E7,438072.57068062824,1902496.879030937,1.5189271E7,0.0,8.3671857E7,459735.4780219778,1942181.8603550708,1.518928E7,7.0,0,0,0,0,3840,3660,2.294677816299018,2.1871147936600015,0.0,398.0,61.029255319148916,67.40181358967507,4543.0044751773075,0,0,0,231,375,0,0,0,0.0,61.192,54.03125,68.70491803278688,0,0,0,1765,17,2769,14,798,14,967,42,1023,96,20,3828764.5,7461104.182857971,1.8909136E7,20.0,1.0063654166666668E7,3621636.527958675,1.5189263E7,5910750.0,NeedManualLabel
192.168.8.100-142.250.0.95-57566-443-17,192.168.8.100,57566,142.250.0.95,443,17,12/06/2026 06:34:18 PM,58625347,29,40,6598.0,6701.0,1250.0,31.0,227.51724137931035,373.4032309801348,1250.0,21.0,167.52499999999995,349.1272626318668,226.84727136881597,1.1769653150197985,862137.4558823527,4017026.7004733603,2.7656944E7,0.0,5.8554714E7,2091239.785714286,6136246.029920921,2.7732236E7,28.0,5.8564192E7,1501645.948717949,5261524.56682671,2.7723232E7,0.0,0,0,0,0,232,320,0.4946665816749878,0.6822987333448107,21.0,1250.0,207.84285714285716,377.2532550243948,142320.01842650105,0,0,0,0,0,0,0,0,1.0,210.85507246376812,227.51724137931035,167.525,0,0,0,2659,13,4601,7,1649,10,1675,0,0,28,8,288341.3333333333,22378.4854119606,303542.0,262644.0,1.7466334E7,1.0121975193665266E7,2.7656944E7,7414419.0,NeedManualLabel
192.168.8.100-192.168.8.1-50534-53-17,192.168.8.100,50534,192.168.8.1,53,17,12/06/2026 06:34:33 PM,172299,1,1,42.0,58.0,42.0,42.0,42.0,0.0,58.0,58.0,58.0,0.0,580.3864212792877,11.607728425585755,172299.0,0.0,172299.0,172299.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5.8038642127928775,5.8038642127928775,42.0,58.0,47.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,71.0,42.0,58.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.8.100-142.250.0.101-64943-443-17,192.168.8.100,64943,142.250.0.101,443,17,12/06/2026 06:35:29 PM,2726917,18,22,7572.0,5384.0,1250.0,29.0,420.66666666666663,545.4133888216188,1250.0,21.0,244.7272727272727,406.82302011681895,4751.153042061786,14.668579938443305,69920.94871794872,218668.28799732603,1347826.0,1.0,2477386.0,145728.58823529413,326312.65283219155,1348008.0,22.0,2668817.0,127086.52380952383,293416.84522392694,1348205.0,1.0,0,0,0,0,144,176,6.600860972299487,8.067718966143818,21.0,1250.0,346.4878048780487,491.8304139615209,241897.15609756098,0,0,0,0,0,0,0,0,1.0,355.15,420.6666666666667,244.72727272727272,0,0,0,6478,20,9394,18,7572,22,5384,0,0,17,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.8.100-142.251.0.94-55773-443-17,192.168.8.100,55773,142.251.0.94,443,17,12/06/2026 06:34:57 PM,47002426,26,34,7343.0,7253.0,1250.0,31.0,282.42307692307685,443.7119041068808,1250.0,22.0,213.3235294117647,374.585647493838,310.5371624860385,1.2765298540122163,796651.2881355933,2930116.6949018287,1.486783E7,0.0,4.6930845E7,1877233.7999999998,4339674.184569457,1.4940231E7,22.0,4.6948152E7,1422671.272727273,3851053.8046840522,1.4926255E7,0.0,0,0,0,0,208,272,0.553162936738627,0.7233669172735893,22.0,1250.0,259.7704918032786,420.70628683372524,176993.7797814207,0,0,0,0,0,0,0,0,1.0,264.1,282.4230769230769,213.3235294117647,0,0,0,2432,10,18035,5,1468,6,1450,0,0,25,8,1470678.6666666665,2316870.8148950245,4145969.0,130465.0,1.2819999666666666E7,2490474.011928318,1.486783E7,1.0047584E7,NeedManualLabel
192.168.8.100-91.198.51.137-56136-443-6,192.168.8.100,56136,91.198.51.137,443,6,12/06/2026 06:35:10 PM,1138105,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.635960653893973,569052.5,602905.4045905543,995371.0,142734.0,995371.0,995371.0,0.0,995371.0,995371.0,0,0,0,0,0,0,0,0,0,40,20,1.757307102595982,0.878653551297991,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1028,501,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.8.100-142.251.155.119-52391-443-17,192.168.8.100,52391,142.251.155.119,443,17,12/06/2026 06:34:20 PM,85160169,379,235,301216.0,55467.0,1250.0,29.0,794.765171503958,557.9356605590372,1250.0,21.0,236.02978723404263,354.1654738531308,4188.378254627466,7.209943418501202,138923.60358890702,608560.9089340701,7717726.0,0.0,8.5104967E7,225145.41534391532,779911.1540802408,7768256.0,7.0,8.5070077E7,363547.33760683745,971717.0851196793,7788189.0,0.0,0,0,0,0,3032,1880,4.4504373869901555,2.7595060315110462,21.0,1250.0,581.7804878048772,560.0518550995196,313658.0804004133,0,0,0,0,0,0,0,0,0.0,582.728013029316,794.7651715039577,236.02978723404254,0,0,0,23732,39,19688,15,12048,9,2218,0,0,378,8,3.6090715E7,2.074565311816738E7,5.0760107E7,2.1421323E7,6402867.5,1859490.723301544,7717726.0,5088009.0,NeedManualLabel
192.168.8.100-34.111.222.254-54705-443-17,192.168.8.100,54705,34.111.222.254,443,17,12/06/2026 06:34:29 PM,12607310,20,31,4278.0,23639.0,1250.0,31.0,213.9,418.8085732797641,1250.0,22.0,762.5483870967743,555.1190766378974,2214.35024600807,4.045272147666711,252146.2,1199233.0150772985,7436916.0,0.0,1.2548514E7,660448.105263158,1914743.3072589913,7436916.0,23.0,1.2548006E7,418266.8666666667,1554580.427331788,7547149.0,0.0,0,0,0,0,160,248,1.5863812343791024,2.4588909132876084,22.0,1250.0,560.9038461538461,572.5911267355525,327860.5984162896,0,0,0,0,0,0,0,0,1.0,571.9019607843137,213.9,762.5483870967741,0,0,0,9305,17,30333,10,2139,15,11819,0,0,19,8,141862.0,0.0,141862.0,141862.0,7436916.0,0.0,7436916.0,7436916.0,NeedManualLabel
192.168.8.100-142.250.0.101-50809-443-17,192.168.8.100,50809,142.250.0.101,443,17,12/06/2026 06:34:58 PM,1113873,12,14,7283.0,4637.0,1250.0,31.0,606.9166666666667,581.5767686890424,1250.0,21.0,331.21428571428567,474.9521722595507,10701.399531185334,23.341978843189487,44554.92,183465.62365057203,920075.0,1.0,1034531.0,94048.27272727272,275101.0364015704,920678.0,10.0,1055048.0,81157.53846153847,253109.83420925372,920213.0,1.0,0,0,0,0,96,112,10.773221004548994,12.568757838640492,21.0,1250.0,487.7777777777778,545.8783559431346,297983.1794871795,0,0,0,0,0,0,0,0,1.0,506.53846153846155,606.9166666666666,331.2142857142857,0,0,0,11920,26,10701,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,NeedManualLabel
